paper_id	affiliations
lavrentyeva19_interspeech	['stc-innovations ltd., st.petersburg, russia', 'itmo university, st.petersburg, russia']
yang19b_interspeech	['moe key lab of artificial intelligence', 'speechlab, department of computer science and engineering', 'shanghai jiao tong university, shanghai, china']
alluri19_interspeech	['speech processing laboratory, kcis', 'international institute of information technology, hyderabad, india']
li19c_interspeech	['school of electronic science and engineering, xiamen university, china', 'school of information science and engineering, xiamen university, china']
williams19b_interspeech	['the centre for speech technology research, university of edinburgh, united kingdom']
das19_interspeech	['department of electrical and computer engineering,', 'national university of singapore, singapore']
chang19b_interspeech	['national sun yat-sen university, taiwan']
gomezalanis19_interspeech	['university of granada, granada, spain', 'university of malaga, malaga, spain']
zeinali19_interspeech	['brno university of technology, faculty of it, it4i centre of excellence, czechia', 'omilia - conversational intelligence, athens, greece']
alzantot19_interspeech	['department of computer science, ucla, los angeles, usa', 'department of electrical and computer engineering, ucla, los angeles, usa']
jung19_interspeech	['school of computer science, university of seoul, south korea']
dunbar19_interspeech	"['laboratoire de linguistique formelle (cnrs - paris diderot - sorbonne paris cite), france', 'cognitive machine learning (ens - cnrs - ehess - inria - psl research university), france', 'department of computer graphics and multimedia, brno univ. of technology, czech republic', 'language technologies institute, carnegie mellon university, usa', ""laboratoire d'informatique de grenoble, equipe getalp (universite grenoble alpes), france"", 'nara institute of science and technology, japan', 'riken center for advanced intelligence project, japan', 'facebook a.i. research, paris, france']"
feng19b_interspeech	['department of electronic engineering, the chinese university of hong kong, hong kong']
yusuf19_interspeech	['bogazici university, turkey', 'national defense university naval academy, turkey']
eloff19_interspeech	['dept. e&e engineering, stellenbosch university, south africa', 'cstr, school of informatics, university of edinburgh, uk']
liu19c_interspeech	['college of electrical engineering and computer science, national taiwan university']
s19_interspeech	['indian institute of technology madras']
tjandra19_interspeech	['graduate school of information science, nara institute of science and technology, japan', 'riken, center for advanced intelligence project aip, japan', 'department of electrical and computer engineering, national university of singapore, singapore']
jia19_interspeech	['google']
liu19d_interspeech	['nlpr, institute of automation, chinese academy of sciences, beijing, china', 'university of chinese academy of sciences, beijing, china', 'cas center for excellence in brain science and intelligence technology, beijing, china', 'baidu inc. no. 10, shangdi 10th street, beijing, china']
gangi19_interspeech	['university of trento, italy', 'fondazione bruno kessler, trento, italy']
hillis19_interspeech	['language technologies institute, carnegie mellon university, pittsburgh, pa, usa']
bhattacharya19_interspeech	['mcgill university', 'computer research institute of montreal']
wang19d_interspeech	['moe key lab of artificial intelligence', 'speechlab, department of computer science and engineering', 'shanghai jiao tong university, shanghai, china']
ravanelli19_interspeech	
you19_interspeech	['national engineering laboratory for speech and language information processing', 'university of science and technology of china, hefei, china']
wu19e_interspeech	['moe key lab of artificial intelligence', 'speechlab, department of computer science and engineering', 'shanghai jiao tong university, shanghai, china']
you19b_interspeech	['national engineering laboratory for speech and language information processing', 'university of science and technology of china, hefei, china']
bhat19_interspeech	['interactions llc, usa']
vukotic19_interspeech	['lamark / imatag, rennes, france', 'insa rennes & inria/irisa, rennes, france']
ray19_interspeech	['samsung research america, mountain view, ca, usa']
bhosale19_interspeech	['tcs research and innovation - mumbai, india']
takatsu19_interspeech	['waseda university, japan', 'honda r&d co.,ltd, japan', 'chiba institute of technology, japan']
caubriere19_interspeech	['lium - le mans university', 'lia - avignon university', 'ls2n - university of nantes, cnrs']
dash19b_interspeech	"['department of bioengineering, university of texas at dallas, usa', 'department of psychology, university of texas at austin, usa', ""meg lab, dell children's medical center, austin, tx, usa"", 'callier center for communication disorders, university of texas at dallas, usa']"
nijveld19_interspeech	['cls, radboud university, nijmegen, the netherlands', 'clst, radboud university; donders institute, nijmegen, the netherlands']
bosch19_interspeech	['radboud university nijmegen, the netherlands', 'max planck institute for psycholinguistics, the netherlands']
kharaman19_interspeech	['department of linguistics, university of konstanz, germany']
scharenborg19_interspeech	['multimedia computing group, delft university of technology, the netherlands', 'radboud university nijmegen, the netherlands', 'department of psychology, university of illinois at urbana-champaign, usa', 'beckman institute, university of illinois at urbana-champaign, il, usa']
parmonangan19_interspeech	['division of information science, nara institute of science and technology, japan', 'riken, center for advanced intelligence project aip, japan', 'graduate school of information science and technology, the university of tokyo, japan']
huang19d_interspeech	['google inc., usa']
zhao19c_interspeech	['machine intelligence technology, alibaba group']
khokhlov19_interspeech	['stc-innovations ltd, st. petersburg, russia', 'itmo university, st. petersburg, russia', 'speech technology center ltd, st. petersburg, russia']
kanda19b_interspeech	['hitachi ltd., japan', 'paderborn university, germany']
drude19_interspeech	['paderborn university, department of communications engineering, paderborn, germany']
ma19_interspeech	['university of science and technology of china, hefei, anhui, p r. china', 'iflytek research, hefei, anhui, p.r.china', 'georgia institute of technology, atlanta, ga. usa']
padi19_interspeech	['minds.ai, bengaluru, india.', 'learning and extraction of acoustic patterns (leap) lab, electrical engineering,', 'indian institute of science, bengaluru, india.']
jung19b_interspeech	['school of computer science, university of seoul, south korea']
rao19_interspeech	['department of electrical and computer engineering, national university of singapore, singapore', 'school of computer science and engineering, nanyang technological university, singapore', 'temasek laboratories, nanyang technological university, singapore']
mazzawi19_interspeech	['google research', 'google speech']
zheng19_interspeech	['institute of automation, chinese academy of science, china', 'school of artificial intelligence, university of chinese academy of science, china', 'microsoft china, beijing, china']
guo19b_interspeech	['∗school of computer science, northwestern polytechnical university, xian, china', '†microsoft china']
he19_interspeech	['school of computer science and engineering, beihang university, china', 'microsoft china', '* work done during internship at microsoft stc asia']
zhang19b_interspeech	['national university of singapore, singapore', 'national institute of informatics, tokyo, japan']
luong19_interspeech	['national institute of informatics, tokyo, japan', 'sokendai (the graduate university for advanced studies), kanagawa, japan', 'kddi research inc., saitama, japan', 'university of edinburgh, edinburgh, uk']
